borough, nta_code, Annual Uber Rides/Population
Queens, QN48, 0.152030406081216
Queens, QN49, 0.168946804016508
Queens, QN50, 0.346420594804279
Queens, QN51, 0.120817951641895
Queens, QN52, 0.135942480171967
Queens, QN53, 0.177488795567632
Queens, QN54, 0.17833666761932
Queens, QN55, 0.145299032657687
Queens, QN56, 0.24251497005988
Queens, QN57, 0.198447299984702
Queens, QN60, 0.506830483718533
Queens, QN61, 0.289203921787502
Queens, QN62, 0.267836538461538
Queens, QN63, 0.460231934189228
Queens, QN66, 0.117245327771644
Queens, QN68, 5.31472790813779
Queens, QN70, 1.15795819425584
Queens, QN71, 0.979830301287122
Queens, QN72, 0.980561282450456
Queens, QN76, 0.196861543796781
Staten Island, SI01, 0.00140439323010443
Staten Island, SI07, 0.0263048709650651
Staten Island, SI08, 0.0227515583259127
Staten Island, SI11, 0.00158709732767126
Staten Island, SI12, 0.0142975154095444
Staten Island, SI14, 0.0411717146588718
Staten Island, SI22, 0.0129653363536109
Staten Island, SI24, 0.0549912092205509
Staten Island, SI25, 0.00771010023130301
Staten Island, SI28, 0.00936060621068793
Staten Island, SI32, 0.00115590232625343
Staten Island, SI35, 0.023623395149786
Staten Island, SI36, 0.0278639017515603
Staten Island, SI37, 0.0232109779609118
Staten Island, SI45, 0.0100018268176836
Staten Island, SI48, 0.0010301925667644
Staten Island, SI54, 0.00356090373280943
